org_name,addr,contact_phone
中山醫療社團法人杏群診所,"台北市	仁愛路4段112巷12號",27547700
益曼中醫診所,台北市一江街31之1號,25363322
中崙聯合診所,台北市八德路2段303號,0227711501
康和牙醫診所,台北市八德路3段241號,25783338
博美牙醫診所,台北市八德路4段106巷2弄20號,27493409
江建中診所,台北市八德路4段285號,022764-7883
臺北市立聯合醫院附設松山門診部,台北市八德路4段694號,0227671757
仁禾中醫診所,台北市八德路4段786之1號,27883853
力霸牙醫診所,台北市八德路4段94號,0227651440
紹毅內兒科診所,台北市八德路一段50.52號,0223930080
中崙大愛眼科診所,台北市八德路二段245號,0227775077
長安內外科診所,台北市八德路二段259號,2711-1000
傅牙醫診所,台北市八德路二段297號,0227716701
景福牙醫診所,台北市八德路二段333號,27817602
彥君牙醫診所,台北市八德路二段354號,0227313074
康泰中醫診所,台北市八德路二段366巷13弄2號,0227312676
上傑牙醫診所,台北市八德路二段386號,0227765449
安美診所,台北市八德路二段400號,0935365707、27214153
正顏診所,台北市八德路二段410巷12號,2781-9158
基督復臨安息日會醫療財團法人臺安醫院,"台北市八德路二段424,426號",0227718151
哲伸牙醫診所,台北市八德路三段106巷50號,0225788252
大都會牙醫診所,台北市八德路三段110號,25783456
益茂中醫診所,台北市八德路三段12巷52弄10號,25474767
朱家庭醫學科診所,台北市八德路三段12巷57弄39之3號,0225795004
同心牙醫診所,台北市八德路三段12巷7弄2號,0225790047
惠民牙醫診所,台北市八德路三段147之2號,0225779156
康瑞耳鼻喉科診所,台北市八德路三段154號,0225790045
杏友診所,台北市八德路三段155巷2號,0225779195
傅眼科診所,台北市八德路三段156號,0225772112
美佳皮膚科診所,台北市八德路三段164號,02 25795774
傑美牙醫診所,台北市八德路三段172號,25770090
車參薇小兒科診所,台北市八德路三段195號,0225770101
冠亞牙醫診所,台北市八德路三段207號,0225794183
閎新耳鼻喉科皮膚科聯合診所,台北市八德路三段20之2號,25779898
仲佑中醫診所,台北市八德路三段212號,25706899
大統牙醫診所,台北市八德路三段225號,0225784422
京華皮膚科診所,台北市八德路三段238號,2570-1068
德基牙醫診所,台北市八德路三段27號,0225701698
安德聯合診所,台北市八德路三段34號,0225705886
安德醫美診所,台北市八德路三段36號,25703080
弘祐中醫診所,台北市八德路三段73號,2570-3969
仁惠牙醫診所,台北市八德路三段74巷48號,0225787185
李國師牙醫診所,台北市八德路三段81號,0227117627
陳大昕耳鼻喉科診所,台北市八德路四段100號,0227676349
王世興醫師診所,台北市八德路四段10號,0227476525
仁和堂中醫診所,台北市八德路四段201號,25288868
健本牙醫診所,台北市八德路四段210之2號,0227626619
皇脈中醫診所,台北市八德路四段245巷29號,27670258
慈和中醫診所,台北市八德路四段245巷32弄65號,27472788
采德牙醫診所,台北市八德路四段245巷33號,27493299
松山內兒科診所,台北市八德路四段255號,27658676  27674262
高國隆婦產科診所,台北市八德路四段257號,02-27630047
林聰賢婦產科診所,台北市八德路四段345號,0227625290
培靈醫院,台北市八德路四段355號,0227606116
楠桐中醫診所,台北市八德路四段61號,27645115
余內科診所,台北市八德路四段646號,0227675640
黃榮輝診所,台北市八德路四段647號,0227675326
趙耳鼻喉科診所,台北市八德路四段649號,0227568572
傳芳婦產科診所,台北市八德路四段659號,0227631678
